iter	Passed	Remaining
0	7	4393
1	12	3839
2	18	3610
3	22	3375
4	27	3274
5	32	3214
6	37	3159
7	41	3080
8	46	3068
9	51	3012
10	55	2990
11	60	2960
12	65	2938
13	69	2917
14	74	2894
15	79	2901
16	85	2922
17	91	2963
18	96	2948
19	101	2930
20	107	2963
21	112	2968
22	118	2961
23	124	2995
24	130	2998
25	134	2979
26	141	3001
27	146	2989
28	150	2963
29	155	2955
30	160	2938
31	164	2922
32	170	2922
33	175	2913
34	179	2899
35	184	2895
36	189	2883
37	194	2870
38	198	2856
39	203	2846
40	207	2833
41	212	2821
42	217	2817
43	222	2812
44	227	2807
45	232	2802
46	237	2796
47	242	2786
48	247	2777
49	251	2768
50	256	2759
51	260	2743
52	265	2738
53	270	2732
54	274	2722
55	279	2717
56	284	2711
57	289	2702
58	294	2696
59	298	2686
60	303	2679
61	307	2669
62	312	2664
63	317	2657
64	322	2656
65	327	2649
66	332	2643
67	337	2636
68	341	2628
69	346	2621
70	351	2615
71	355	2610
72	360	2602
73	365	2595
74	370	2590
75	375	2586
76	379	2579
77	384	2572
78	388	2565
79	393	2558
80	398	2553
81	403	2550
82	409	2548
83	415	2549
84	420	2547
85	426	2546
86	431	2546
87	438	2553
88	446	2561
89	455	2580
90	461	2581
91	468	2584
92	473	2578
93	477	2573
94	483	2569
95	488	2563
96	493	2556
97	498	2551
98	502	2544
99	508	2540
100	512	2532
101	517	2526
102	522	2519
103	526	2512
104	531	2506
105	536	2498
106	540	2491
107	545	2484
108	549	2476
109	555	2472
110	560	2467
111	565	2463
112	570	2458
113	574	2451
114	579	2445
115	584	2438
116	588	2431
117	593	2424
118	598	2420
119	604	2419
120	610	2415
121	615	2412
122	621	2410
123	626	2403
124	631	2397
125	635	2390
126	639	2383
127	644	2377
128	649	2369
129	653	2362
130	658	2356
131	663	2350
132	667	2345
133	672	2338
134	677	2333
135	682	2328
136	686	2321
137	691	2315
138	696	2309
139	700	2302
140	705	2295
141	709	2289
142	714	2282
143	718	2275
144	723	2269
145	728	2263
146	732	2257
147	737	2250
148	741	2244
149	745	2237
150	750	2231
151	755	2226
152	759	2220
153	764	2213
154	769	2207
155	773	2201
156	778	2196
157	782	2189
158	787	2185
159	793	2182
160	798	2178
161	803	2172
162	808	2167
163	813	2163
164	818	2158
165	823	2152
166	828	2149
167	834	2145
168	839	2140
169	845	2138
170	850	2133
171	855	2127
172	860	2124
173	865	2119
174	870	2115
175	876	2111
176	882	2107
177	887	2104
178	893	2101
179	898	2096
180	903	2091
181	908	2086
182	912	2080
183	917	2074
184	922	2068
185	926	2062
186	931	2056
187	935	2050
188	940	2045
189	944	2039
190	949	2033
191	954	2028
192	959	2022
193	963	2017
194	968	2011
195	973	2005
196	977	2000
197	982	1993
198	986	1988
199	991	1982
200	995	1976
201	1000	1971
202	1004	1965
203	1009	1958
204	1013	1952
205	1017	1945
206	1021	1940
207	1027	1936
208	1033	1933
209	1039	1929
210	1043	1924
211	1048	1918
212	1053	1913
213	1057	1907
214	1062	1902
215	1066	1896
216	1071	1891
217	1075	1885
218	1080	1879
219	1084	1874
220	1089	1868
221	1094	1864
222	1099	1858
223	1104	1853
224	1108	1848
225	1113	1842
226	1117	1836
227	1122	1831
228	1127	1826
229	1132	1822
230	1139	1820
231	1144	1815
232	1148	1809
233	1153	1804
234	1159	1800
235	1164	1795
236	1168	1790
237	1175	1787
238	1179	1782
239	1184	1777
240	1190	1773
241	1196	1769
242	1201	1764
243	1206	1760
244	1210	1754
245	1215	1748
246	1220	1744
247	1224	1738
248	1229	1732
249	1233	1727
250	1238	1722
251	1243	1716
252	1247	1711
253	1252	1706
254	1257	1700
255	1261	1695
256	1266	1689
257	1270	1684
258	1275	1678
259	1279	1673
260	1284	1668
261	1288	1662
262	1294	1658
263	1300	1654
264	1305	1650
265	1310	1646
266	1316	1642
267	1322	1638
268	1327	1633
269	1332	1628
270	1337	1623
271	1341	1618
272	1346	1612
273	1351	1607
274	1355	1602
275	1360	1597
276	1364	1591
277	1369	1586
278	1374	1580
279	1378	1575
280	1383	1570
281	1387	1564
282	1392	1559
283	1396	1553
284	1401	1549
285	1406	1544
286	1411	1538
287	1415	1533
288	1420	1528
289	1424	1522
290	1429	1517
291	1433	1512
292	1438	1507
293	1442	1501
294	1448	1497
295	1452	1491
296	1456	1486
297	1461	1481
298	1466	1476
299	1471	1471
300	1475	1466
301	1479	1460
302	1484	1455
303	1489	1450
304	1494	1445
305	1500	1441
306	1505	1437
307	1510	1431
308	1515	1426
309	1520	1422
310	1525	1417
311	1530	1412
312	1536	1408
313	1540	1403
314	1545	1397
315	1550	1393
316	1555	1388
317	1560	1383
